Model,CPU,GPU,Storage capacity,RAM,OS,UI,Size,Weight,Display,Keyboard,Camera,Other
Apple iPhone 4S[35],800 MHz dual-core Apple A5,PowerVR SGX543MP2,8 16 32 or 64 GB,512 MB,iOS 5 upgradeable to iOS 9,SpringBoard,62.8 cm³  115.2 × 58.6 × 9.3mm,140 g,3.5" 640 × 960 Retina display 326 ppi,Soft QWERTY,8.0 MP AF with LED flash face detection video stabilization and geotagging 1920 × 1080 video at 30 frame/s (rear); 0.3 MP VGA (front),3-axis accelerometer 3-axis gyroscope aGPS multi-touch proximity and ambient light sensors digital compass Wi-Fi b/g/n Bluetooth 4 w/A2DP world phone (combined GSM/UMTS and CDMA)
HP Pre 3, 1.4 GHz Qualcomm MSM 8X55,-,8 or 16 GB,512 MB,webOS 2.2,-,113.7 cm³  111 × 64 × 16 mm,156 g,3.58" 480 × 800,Slide-out QWERTY,5 MP AF with LED flash and geotagging 720p HD video (rear) 0.3 MP VGA (front),GPS aGPS ambient light and proximity sensors accelerometer Wi-Fi a/b/g/n compass Bluetooth 2.1+EDR Dual microphone
HTC 7 Pro, 1 GHz Qualcomm QSD 8650 Scorpion (Snapdragon),-,8.5 GB,576 MB,Windows Phone 7,-,107.4 cm³117.5 × 59 × 15.5 mm,185 g,3.6" 480 × 800,Slide-out QWERTY,5 MP AF with flash 720p HD video recording,3-axis accelerometer GPS aGPS multi-touch proximity and ambient light sensors digital compass FM radio Wi-Fi b/g/n Bluetooth 2.1+EDR kickstand slide-out speakers
HTC Desire S, 1 GHz Qualcomm MSM8255 Snapdragon,Adreno 205,1.1 GB,768 MB,Android 2.3 upgradable to 4.0.4,HTC Sense,79.8 cm³115 × 59.8 × 11.6 mm,130 g,3.7" 480 × 800 SLCD,Soft QWERTY,5 MP AF with LED flash geotagging 720p HD recording,microSD 3-axis accelerometer GPS A-GPS multi-touch proximity sensor FM radio compass Wi-Fi b/g Bluetooth 2.1+EDR DLNA
HTC EVO 3D[36], 1.2 GHz dual-core Qualcomm MSM 8660 Snapdragon,Adreno 220, 4 GB eMMC, 1 GB,Android 2.3 Gingerbread,HTC Sense 3.0,100.6 cm³127 × 66 × 12 mm,170 g,4.3" 540×960 qHD at 256 ppi Autostereoscopic 3D-capable (glasses-free) SLCD,Soft QWERTY,Dual 5 MP AF rear back-illuminated sensors with dual LED flash; 1.3 MP front,Multi-touch touchscreen display 3-axis accelerometer Digital compass proximity sensor Ambient light sensor Wi-Fi Hotspot FM radio GPS navigation Micro-SDHC 8 GB (32 GB max)
HTC Incredible S, 1 GHz Qualcomm MSM 8255 Scorpion (Snapdragon),Adreno 205, 1.1 GB,768 MB,Android 2.2 upgradable to 2.3,HTC Sense,98.7 cm³120 × 64 × 11.7 mm,135g,4.0" 480 × 800 SLCD,Soft QWERTY,8 MP AF with dual LED flash geotagging 720p HD recording,microSD accelerometer GPS A-GPS multi-touch proximity sensor FM radio compass Wi-Fi b/g/n Bluetooth 2.1+EDR DLNA support
HTC Sensation, 1.2 GHz dual-core Qualcomm MSM 8260 Snapdragon,Adreno 220, 1 GB,768 MB,Android 2.3 upgradable to 4.0.3,HTC Sense 3.0 upgradable to 3.6,93.2 cm³126.1 × 65.4 × 11.3 mm,148 g,4.3" 540×960 qHD SLCD,Soft QWERTY,8 MP AF rear with dual LED flash geotagging 1080p video @ 30frame/s; 0.3 MP VGA front,microSD accelerometer gyro GPS aGPS multi-touch proximity sensor  compass Wi-Fi b/g/n Bluetooth 3.0 DLNA MHL virtual surround sound
HTC Wildfire S,600 MHz Qualcomm MSM7227,Adreno 200,512 MB,512 MB,Android 2.3.3 upgradable to 2.3.5,HTC Sense 2.1,74.6 cm³  101.3 × 59.4 × 12.4 mm,105 g,3.2" 320 × 480,Soft QWERTY,5 MP AF with LED flash geotagging,microSD accelerometer GPS A-GPS multi-touch proximity sensor FM radio compass Wi-Fi b/g/n Bluetooth 3.0
LG Optimus 2X, 1 GHz Nvidia Tegra 2 dual-core ARM Cortex-A9,GeForce ULP,8 GB,512 MB,Android 2.2 upgradable to 2.3 and 4.0,LG,85.3 cm³  123.9 × 63.2 × 10.9mm,139 g,4.0" 480 × 800,Soft QWERTY,8 MP 3264×2448 pixels rear AF with LED flash 1080p video @ 24frame/s 720p @ 30 frame/s; 1.3 MP front,accelerometer aGPS gyroscope multi-touch proximity and ambient light sensors FM radio digital compass Wi-Fi b/g/n Bluetooth 2.1+EDR HSPA+ magnetometer DLNA HDMI port
Meizu M9[37], 1 GHz Samsung Hummingbird S5PC110,PowerVR SGX 540,8 or 16 GB,512 MB,Android 2.2 UIQ,-,110 cm³,123  g,3.5" 960 × 640,Soft QWERTY,5.0 MP AF,microSD
Motorola Droid Bionic, 1 GHz Texas Instruments OMAP4430 dual-core ARM Cortex-A9 SoC,PowerVR SGX 540,16 GB,1 GB,Android 2.3.4,Motoblur,93 cm³  127.5 × 66.9 × 10.9mm,158 g,4.3" 540×960 qHD LCD,Soft QWERTY,8.0 MP AF with LED flash 1080p video at 30 frame/s,accelerometer aGPS multi-touch proximity and ambient light sensors Wi-Fi 2.4 & 5 GHz 802.11 b/g/n Bluetooth 2.1+EDR HSPA+
