Model,CPU,GPU,Storage capacity,RAM,OS,UI,Size,Weight,Display,Keyboard,Camera,Other
Motorola Atrix 4G, 1 GHz Nvidia Tegra 2 dual-core ARM Cortex-A9,GeForce ULP,16 GB,1 GB,Android 2.2 upgradable to 2.3,Motoblur,81.9 cm³  117.75 × 63.5 × 10.95mm,135 g,4.0" 540×960 qHD LCD,Soft QWERTY,5.0 MP AF rear with LED flash 720p video at 30 frame/s; 0.3 MP VGA front,accelerometer aGPS multi-touch proximity and ambient light sensors Wi-Fi 2.4 & 5 GHz 802.11 b/g/n Bluetooth 2.1+EDR HSPA+ magnetometer fingerprint reader
Motorola Droid RAZR, 1.2 GHz TI OMAP4430,PowerVR SGX540,16 GB, 1 GB,Android 2.3.5  Gingerbread,-,94 cm³  130.7 × 68.9 × 7.1 mm,127 g,4.3" 540 × 960,Soft QWERTY,8.0 MP AF with flash 720p HD video recording / 1.3MP front-facing camera,3-axis accelerometer GPS aGPS multi-touch proximity and ambient light sensors digital compass FM radio Wi-Fi b/g/n Bluetooth 2.1+EDR
Nokia E6-00[38],680 MHz ARM11 processor (ARM v6 architecture),Broadcom BCM2727 VideoCore III, 8 GB on board max 32 GB micro SD card,256 MB,Symbian^3,-,66 cm³115.5mm × 59mm × 10.5 mm,133 g,2.46" 640 × 480 (Retina display 325 ppi),Soft QWERTY and Full QWERTY,8 MP f/2.4 EDOF with dial LED flash 720p recording; 0.3 MP VGA front,penta band 3G 2 microphones aGPS microSDHC proximity sensor accelerometer magnetometer ambient light
Nokia Lumia 710, 1.4 GHz Qualcomm MSM8255 Scorpion (Snapdragon),Adreno 205,8 GB,512 MB,Windows Phone 7.5,-,81.1 cm³  119 × 62.4 × 12.5 mm,125.5 g,3.7" 480 × 800,Soft QWERTY,5 MP AF with LED flash geotagging face detection 720p HD @ 30fps video recording,accelerometer GPS aGPS multi-touch Proximity sensor compass FM Radio w/ RDS Wi-Fi b/g/n Bluetooth 2.1+EDR active noise cancellation[citation needed]
Nokia Lumia 800, 1.4 GHz Qualcomm MSM8255 Scorpion (Snapdragon),Adreno 205,16 GB,512 MB,Windows Phone 7.5,-,76.1 cm³  116.5 × 61.2 × 12.1 mm,142 g,3.7" 480 × 800 AMOLED[29],Soft QWERTY,8 MP AF with Carl Zeiss optics dual LED flash geotagging 720p HD @ 30fps video recording,accelerometer GPS aGPS multi-touch Proximity sensor compass FM Radio w/ RDS Wi-Fi b/g/n Bluetooth 2.1+EDR active noise cancellation[citation needed]
Nokia N9[39], 1 GHz ARM Cortex-A8 (Texas Instruments OMAP3630),PowerVR SGX 530, 16 or 64 GB, 1 GB,MeeGo 1.2 Harmattan Linux,-,76 cm³116.45 × 61.2 × 12.1 mm,135 g,3.9" 854×480 AMOLED[29],Soft QWERTY,8 MP f/2.2 AF rear with dual LED flash 720p HD video recording @ 30frame/s; front camera,aGPS proximity sensor accelerometer magnetometer NFC
Galaxy Nexus[40], 1.2 GHz dual-core Texas Instruments OMAP4460 ARM Cortex-A9,PowerVR SGX540, 16 GB, 1 GB,Android 4.0.1 (Ice Cream Sandwich) upgradeable to 4.2.2 or 4.3 (Jellybean),-,81.9 cm³  135.5 × 67.9 × 8.9 mm,135 g,4.65" 720 × 1280 (Super AMOLED ~316 PPI),Soft QWERTY,5.0 MP AF LED flash zero shutter lag 1080p video recording(1920×1080 @ 30 fps) (rear); 1.3 MP 720p video (front),accelerometer gyroscope GPA aGPS barometer digital compass proximity sensor dual microphones for active noise cancellation Bluetooth 3.0 Wi-Fi 802.11 a/b/g/n Wi-Fi hotspot DLNA MHL NFC
Nexus S[41], 1.0 GHz Cortex-A8 (Hummingbird Chipset),PowerVR SGX540, 16 GB, 512 MB,Android 2.3 (Gingerbread) upgradeable to Android 4.1.2 (Jellybean),-,85.0 cm³  123.9 × 63 × 10.9 mm,131 g, 4.0" 480 × 800 (Super AMOLED ~233 PPI),Soft QWERTY,5.0 MP AF LED flash w480p@30fps video recordingVGA video (front),accelerometer gyroscope GPA aGPS barometer digital compass proximity sensor Bluetooth 2.1 Wi-Fi 802.11 b/g/n Wimax Wi-Fi hotspot NFC
Samsung Galaxy Note, 1.4 GHz dual-core ARM Cortex-A9 SoC processor; Samsung Exynos 4210 (GT-N7000) / 1.5GHz Qualcomm Snapdragon 8255T (GT-N7003),ARM Mali-400 MP (GT-N7000)/Adreno 220(GT-N7003), 16 or 32 GB, 1 GB,Android 2.3.6 (Gingerbread),TouchWiz 4.0,117.5 cm³  146.85 mm x 82.95 mm x 9.65 mm,178 g,5.3" 800 × 1280,Soft QWERTY,8.0 MP AF LED flash 1080p video recording(1920×1080 @ 30 fps) (rear); 2 MP VGA video (front),Multi-touch touch screen headset controls proximity and ambient light sensors 3-axis gyroscope magnetometer accelerometer barometer aGPS GLONASS and stereo FM-radio S Pen (Stylus)/Pen UX 3.5 mm TRRS; Wi-Fi (802.11a/b/g/n); Wi-Fi Direct; Bluetooth 3.0; Micro USB 2.0; Optional Near field communication (NFC); USB Host (OTG) 2.0
Samsung Galaxy S II, 1.2 or 1.5 GHz dual-core ARM Cortex-A9 Samsung Exynos,ARM Mali-400MP or GeForce ULP, 16 or 32 GB, 1 GB,Android 2.3 (upgradable to JellyBean 4.1.2),TouchWiz 4.0,70.3 cm³  125.3 × 66.1 × 8.49 mm,116 g,4.27" 480 × 800 Super AMOLED Plus,Soft QWERTY,8 MP 3264 × 2448 pixels 1080p video @ 30frame/s (rear); 2 MP (front),3-axis accelerometer 3-axis gyroscope multi-touch magnetometer GPS aGPS compass microSD FM radio Wi-Fi a/b/g/n Bluetooth 3.0 NFC DLNA support MHL noise cancellation[citation needed]
Samsung Galaxy W[42][43], 1.4 GHz Qualcomm Snapdragon MSM8255T Scorpion,Adreno 205, 3.7 GB,512 MB,Android 2.3.5 Gingerbread,TouchWiz 4.0 ??,79.8 cm³  115.5 × 59.8 × 11.55mm,114.7 g,3.7" 480 × 800 Super LCD,Soft QWERTY,5.0 MP AF with LED flash macro smile detection panorama (rear); 0.31 MP (front),Bluetooth 3.0 accelerometer aGPS microSDHC (>32GiB) FM radio Compass
Samsung Infuse 4G, 1.2 GHz Samsung Hummingbird,-, 8 or 16 GB (NAND flash memory),512 MB,Android 2.2 (upgradable to Gingerbread 2.3.6),TouchWiz 3.0,84.3 cm³  132 × 71 × 9 mm,139 g,4.5" 480 × 800 Super AMOLED Plus,Soft QWERTY,8 MP AF with LED flash smile detection ISO control (rear) 1.3 MP (front),Multi-touch capacitive touchscreen display 3-axis accelerometer 3-axis gyroscope digital compass proximity & light sensors Swype
Sony Ericsson Xperia Arc[44], 1 GHz Qualcomm MSM8255 Scorpion (Snapdragon),Adreno 205,320 MB,512 MB,Android 2.3,Timescape UI,68.5 cm³  125 × 63 × 8.7 mm,117 g,4.2" 480 × 854 LED-backlit LCD,Soft QWERTY,8 MP AF with LED flash image stabilization geo-tagging face and smile detection; 720p HD video recording with continuous autofocus,accelerometer multi-touch proximity sensor GPS aGPS compass Wi-Fi 802.11 b/g/n Wi-Fi hotspot Bluetooth 2.1 w/ A2DP FM Radio w/ RDS HDMI port DLNA
Sony Ericsson Xperia arc S[45], 1.4 GHz Qualcomm MSM8255T Scorpion (Snapdragon),Adreno 205,1024 MB,512 MB,Android 2.3.4,Timescape UI,68.5 cm³  125 × 63 × 8.7 mm,117 g,4.2" 480 × 854 LED-backlit LCD,Soft QWERTY,8 MP AF with LED flash image stabilization geo-tagging face and smile detection 3D sweep panorama; 720p HD video recording with continuous autofocus video stabilizer,accelerometer multi-touch proximity sensor GPS aGPS compass Wi-Fi 802.11 b/g/n Wi-Fi hotspot Bluetooth 2.1+EDR w/ A2DP FM Radio w/ RDS HDMI port DLNA
Sony Ericsson Xperia Neo, 1 GHz Qualcomm MSM8255 Snapdragon,Adreno 205,380 MB,512 MB,Android 2.3,Timescape UI,86 cm³  116 × 57 × 13 mm,126 g,3.7" 480 × 854,Soft QWERTY,8 MP 3264 × 2448 pixels Exmor-R face-detection AF LED flash 720p HD video recording,Wi-Fi 802.11 b/g HDMI-out multi-touch proximity and ambient light sensors Bluetooth 2.1 with A2DP
