Model,CPU,CPU specifications,GPU,Storage capacity,Removable storage,RAM,OS,Custom launcher,Dimensions,Weight,Battery,Recharge Power,Display,Camera,Fingerprint sensor,Facial recognition
Huawei Honor 10,Kirin 970,Octa-core2.4 GHz,Mali-G72 MP12,64 GB or 128 GB,None,4/6 GB  8 GB (GT),Android 8.1 "Oreo",Huawei EMUI,149.6 x 71.2 x 7.7 mm,153g,3400 mAh,-,5.84" 2280x1080 IPS LCD,Dual 16 MP + 24 MP (rear camera) 24 MP (front camera),Front-mounted,Yes
Huawei Honor View 10,Kirin 970,Octa-core2.4 GHz,Mali-G72 MP12,64 GB or 128 GB,microSD up to 256 GB,4/6 GB,Android 9.0 "Pie",Huawei EMUI,157 x 75 x 7 mm,172g,3750 mAh,-,5.99" 2160x1080 LTPS IPS LCD,Dual 16 MP + 20 MP (rear camera) 13 MP (front camera),Front-mounted,Yes
Huawei Honor View 20,Kirin 980,Octa-core2.6 GHz,Mali-G76 MP10,128 GB or 256 GB,None,6/8 GB,Android 9.0 "Pie",Huawei EMUI,156.9 x 75.4 x 8.1 mm,180g,4000 mAh,-,6.4" 2310x1080 IPS LCD,Dual 48 MP + ToF 3D stereo (rear camera) 25 MP (front camera),Rear-mounted,Yes
Blackberry Evolve/Evolve X,Snapdragon 450 (Evolve) Snapdragon 660 (Evolve X),Octa-core 1.8 GHz (Evolve) Octa-core 2.2 GHz (Evolve X),Adreno 506 (Evolve)  Adreno 512 (Evolve X),64 GB,microSD up to 256 GB (Evolve) or 512 GB (Evolve X),4 GB (Evolve)  6 GB (Evolve X),Android 8.1 "Oreo",-,158.9 x 76.1 x 8.4 mm (Evolve)  159.1 x 76.8 x 8.8 mm (Evolve X),170g,4000 mAh,-,5.99" 2160x1080 IPS LCD,Dual 13 MP (Evolve)  Dual 12 MP + 13 MP (Evolve X),Rear-mounted,Yes
Blackberry Key2,Snapdragon 660,Octa-core2.2 GHz,Adreno 512,64 GB or 128 GB,microSD up to 256 GB,6 GB,Android 8.1 "Oreo",-,151.4 x 71.8 x 8.5 mm,168g,3500 mAh,-,4.5" 1620x1080 IPS LCD,Dual 12 MP (rear camera) 8 MP (front camera),Front-mounted,None
Sony Xperia XZ2 Premium,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,64 GB,microSD up to 512 GB,6 GB,Android 9.0 "Pie",-,158 x 80 x 11.9 mm,236g,3540 mAh,-,5.8" 3840x2160 IPS LCD,Dual 19 MP + 12 MP (rear camera) 13 MP (front camera),Rear-mounted,Yes
Sony Xperia XZ3,Snapdragon 845,Octa-core2.7 GHz,Adreno 630,64 GB,microSD up to 512 GB (dual-SIM model only),4 GB 6 GB (Taiwan only),Android 9.0 "Pie",-,158 x 73 x 9.9 mm,193g,3300 mAh,-,6" 2880x1440 P-OLED,19 MP (rear camera) 13 MP (front camera),Rear-mounted,Yes
Sony Xperia XZ2 Compact,Snapdragon 845,Octa-core2.7 GHz,Adreno 630,64 GB,microSD up to 512 GB (dual-SIM model only),4 GB,Android 8.0 "Oreo",-,135 x 65 x 12.1 mm,168g,2870 mAh,-,5" 2160x1080 IPS LCD,19 MP (rear camera) 5 MP (front camera),Rear-mounted,None
OnePlus 6T,Snapdragon 845,Octa-core CPU4x2.8 GHz Kryo 385 Gold + 4x1.7 GHz Kyro 385 Silver,Adreno 630,128 or 256 GB,None,6/8 GB  10 GB LPDDR4X (McLaren edition),Android 9.0 "Pie",Oxygen OS,157.5 x 74.8 x 8.2 mm,185g,3700 mAh,-,6.41" 2340x1080 AMOLED,Dual 16 MP + 20 MP (rear camera) 16 MP (front camera),Under screen,Yes
OnePlus 6,Snapdragon 845,Octa-core CPU4x2.8 GHz Kryo 385 Gold + 4x1.7 GHz Kyro 385 Silver,Adreno 630,64/128/256 GB,None,6/8 GB LPDDR4X,Android 9.0 "Pie",Oxygen OS,155.7 x 75.4 x 7.8 mm,177g,3300 mAh,-,6.28" 2280x1080 AMOLED,Dual 16 MP + 20 MP (rear camera) 16 MP (front camera),Rear-mounted,Yes
Meizu 15/15 Plus,Snapdragon 660 (15)Exynos 8895 (15 Plus),Octa-core2.2 GHzOcta-core4x2.3 GHz+4x1.7 GHz,Adreno 512 (15)ARM Mali-G71 MP20 (15 Plus),64/128 GB,None,4 GB (15) 6 GB (15 Plus) LPDDR4X,Android 7.1.2 "Nougat",Meizu Flyme OS,15:143 x 72 x 7.3 mm15 Plus:153.8 x 78.3 x 7.3 mm,15:152g15 Plus:177g,15:3000 mAh15 Plus:3500 mAh,-,15:5.46" 1920x1080 AMOLED15 Plus:5.95" 2560x1440 AMOLED,Dual 12 MP + 20 MP (rear camera) 20 MP (front camera),Front-mounted,Yes
Meizu 16X,Snapdragon 710,Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,64 or 128 GB,None,6 GB LPDDR4X,Android 8.1 "Oreo",Meizu Flyme OS,151 x 73.5 x 7.5 mm,154g,3100 mAh,-,6" 2160x1080 AMOLED,Dual 12 MP + 20 MP (rear camera) 20 MP (front camera),Under screen,Yes
Meizu X8,Snapdragon 710,Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,64 or 128 GB,None,4/6 GB LPDDR4X,Android 8.1 "Oreo",Meizu Flyme OS,151.2 x 74.6 x 7.8 mm,160g,3210 mAh,-,6.2" 2220x1080 IPS LCD,Dual 12 MP + 5 MP (rear camera) 20 MP (front camera),Rear-mounted,Yes
Xiaomi Pocophone F1,Snapdragon 845,Octa-core CPU4x2.8 GHz Kryo 385 Gold + 4x1.8 GHz Kyro 385 Silver,Adreno 630,64/128/256 GB,microSD up to 256 GB,6/8 GB LPDDR4X,Android 9.0 "Pie",MIUI 10,155.5 x 75.3 x 8.8 mm,182g,4000 mAh,-,6.18" 2246x1080 IPS LCD,Dual 12 MP + 5 MP (rear camera) 20 MP (front camera),Rear-mounted,Yes IR
Motorola Moto Z3,Snapdragon 835,Octa-core2.35 GHz,Adreno 540,64 or 128 GB,microSD up to 512 GB,4/6 GB,Android 8.1 "Oreo",-,156.5 x 76.5 x 6.8 mm,156g,3000 mAh,-,6.01" 2160x1080 AMOLED,Dual 12 MP (rear camera) 8 MP (front camera),Side-mounted,Yes
Motorola Moto G6,Snapdragon 450,Octa-core1.8 GHz,Adreno 506,32 or 64 GB,microSD up to 256 GB,3/4 GB,Android 8.0 "Oreo",-,153.8 x 72.3 x 8.3 mm,167g,3000 mAh,-,5.7" 2160x1080 IPS LCD,Dual 12 MP + 5 MP (rear camera) 8 or 16 MP (front camera),Front-mounted,Yes
Palm Phone,Snapdragon 435,Octa-core1.4 GHz,Adreno 505,32 GB,microSD up to 256 GB,3 GB,Android 8.1 "Oreo",-,96.5 x 50.5 x 10 mm,-,800 mAh,-,3.3" 1280x720 IPS LCD,12 MP (rear camera) 8 MP (front camera),None,Yes IR
Unihertz Atom,MT6763 (Helio P23)[1],Octa-core2 GHz,Mali-G71,64 GB,None,4 GB,Android 8.1 "Oreo",-,96.5 x 45.7 x17.8 mm,108 g,2000 mAh,-,2.45" 432x240 TFT LCD,16 MP (rear camera) 8 MP (front camera),None,None
Red Hydrogen One,Snapdragon 835,Octa-core2.35 GHz,Adreno 540,128 GB  256 GB (Titanium),microSD up to 512 GB,6 GB,Android 8.1 "Oreo",-,164.9 x 85.7 x 10 mm,263g  292g (Titanium),4500 mAh,USB-C,5.7" 2560x1440 LTPS IPS LCD Stereoscopic 3D,Dual 12 MP (rear camera) Dual 8 MP (front camera),Side-mounted,Yes
Razer Phone 2,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,64 GB,microSD up to 512 GB,8 GB,Android 8.1 "Oreo",Nova Launcher Prime,158.5 x 79 x 8.5 mm,220g,4000 mAh,-,5.72" 2560x1440 IPS LCD 120Hz,Dual 12 MP (rear camera) 8 MP (front camera),Side-mounted,None
Asus ROG Phone,Snapdragon 845,Octa-core2.96 GHz,Adreno 630,128 or 512 GB,None,8 GB,Android 8.1 "Oreo",ROG Gaming UI,158.8 x 76.2 x 8.3 mm,200g,4000 mAh,-,6" 2160x1080 AMOLED 90 Hz,Dual 12 MP + 8 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
